[09:10:43] device NVIDIA GeForce RTX 2060 SUPER cc (7, 5) SMs 34 L2 4 MiB shared/SM 64 KiB opt-in 64 KiB icache 64 KiB
[09:10:43] backend mlir cubie 0.12.0 cache /home/cca79/orca/workspaces/cubie/landscape-2060/generated
[09:10:46] 50 configurations, 420 kernels to compile
[09:27:33]   compiled chain32_c8/kvaerno5 n0o0                                8.9 s 4367279a5ae4
[09:27:38]   compiled chain32_c8/radau_iia_3 tierA                              12.9 s f957b58cd98b
[09:27:40]   compiled chain32_c8/kvaerno5 n1o0                               21.2 s 6fcf806424dd
[09:27:47]   compiled chain32_c8/radau_iia_3 plain                              14.8 s 4dd414bce18d
[09:27:50]   compiled chain32_c8/radau_iia_3 opt:newton_exits=1 stage_increment=local   12.1 s 4dd414bce18d
[09:27:51]   compiled chain32_c8/radau_iia_3 opt:newton_exits=0 stage_increment=local   10.8 s 4258ed4c7f49
[09:27:55]   compiled chain32_c8/radau_iia_3 opt:newton_exits=1 stage_increment=shared   15.3 s b2d48b829c4f
[09:27:58]   compiled chain32_c8/radau_iia_3 opt:newton_exits=0 stage_increment=shared   11.0 s 1ff80fff468d
[09:28:02]   compiled chain32_c8/radau_iia_3 n0o0                               11.9 s 2d5a07a0931d
[09:28:05]   compiled chain32_c8/radau_iia_3 n1o0                               14.6 s fb94c5ed6af3
[09:28:06]   compiled chain32_c8/radau_iia_3 n0o0+stage_increment=shared        11.2 s 3d213540de00
[09:28:09]   compiled chain32_c8/radau_iia_3 allrolled                          11.0 s fcb38e7dbc6a
[09:28:24]   compiled chain32_c8/radau_iia_5 tierA                              18.9 s 1aa500f6b6cb
[09:28:32]   compiled chain32_c8/radau_iia_5 plain                              26.1 s fe7078e99ad0
[09:28:35]   compiled chain32_c8/radau_iia_5 opt:newton_exits=1 stage_increment=local   26.3 s fe7078e99ad0
[09:28:36]   compiled chain32_c8/radau_iia_5 opt:newton_exits=1 stage_increment=shared   26.8 s 0197cf56938e
[09:28:42]   compiled chain32_c8/radau_iia_5 opt:newton_exits=0 stage_increment=local   17.3 s 8a70a11aa0e2
[09:28:50]   compiled chain32_c8/radau_iia_5 opt:newton_exits=0 stage_increment=shared   18.1 s 0b8031e6585f
[09:28:52]   compiled chain32_c8/radau_iia_5 n0o0                               17.2 s c7a860e8c898
[09:29:00]   compiled chain32_c8/radau_iia_5 n0o0+stage_increment=shared        18.7 s 462e794c8f5f
[09:29:02]   compiled chain32_c8/radau_iia_5 n1o0                               25.5 s f21698a5edfb
[09:29:04]   compiled chain32_c8/kvaerno3_bicgstab tierA                              11.6 s efd08a948526
[09:29:07]   compiled chain32_c8/radau_iia_5 allrolled                          17.1 s 725133284f40
[09:29:21]   compiled chain32_c8/kvaerno3_bicgstab opt:newton_exits=0 accumulator=local   10.6 s ed38e63a1496
[09:29:30]   compiled chain32_c8/kvaerno3_bicgstab opt:newton_exits=0 accumulator=shared    9.2 s 42c53dd6e284
[09:29:42]   compiled chain32_c8/kvaerno3_bicgstab plain                              40.4 s 356e52c1ee9f
[09:29:45]   compiled chain32_c8/kvaerno3_bicgstab opt:newton_exits=1 accumulator=local   41.1 s 356e52c1ee9f
[09:29:46]   compiled chain32_c8/kvaerno3_bicgstab opt:newton_exits=1 accumulator=shared   38.4 s 31de6810491b
[09:29:57]   compiled chain32_c8/kvaerno3_bicgstab n0k0o0                             11.5 s 0cdc1662cbf3
[09:29:59]   compiled chain32_c8/kvaerno3_bicgstab n0k1o1                             16.7 s 2d8e84b6ae52
[09:30:07]   compiled chain32_c8/kvaerno3_bicgstab n1k1o1                             37.2 s 9c04f1ef168c
[09:30:23]   compiled chain32_c8/kvaerno3_bicgstab n1k0o0                             37.7 s d3a97f60efd3
[09:30:30]   compiled chain32_c8/radau_iia_5_bicgstab tierA                              31.2 s 0e4e91eb3cc2
[09:30:56]   compiled chain32_c8/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=local   25.7 s fc217c60b3e1
[09:31:16]   compiled chain32_c8/radau_iia_5_bicgstab plain                              69.6 s 8f4cdd498904
[09:31:17]   compiled chain32_c8/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=local   69.6 s 8f4cdd498904
[09:31:26]   compiled chain32_c8/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=shared   29.9 s 318325961cc4
[09:31:33]   compiled chain32_c8/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=shared   69.4 s d86a8a2e4f12
[09:31:52]   compiled chain32_c8/radau_iia_5_bicgstab n1k1                               35.4 s cde447aa6282
[09:31:53]   compiled chain32_c8/radau_iia_5_bicgstab n0k1                               35.8 s 039b042284ea
[09:31:55]   compiled chain32_c8/bogacki-shampine-32 tierA                               3.1 s 5e813035f449
[09:31:55]   compiled chain32_c8/bogacki-shampine-32 opt:other_small=1 state=local       0.1 s 5e813035f449
[09:31:55]   compiled chain32_c8/radau_iia_5_bicgstab n0k0o0                             29.5 s f54cd4f16d0f
[09:31:56]   compiled chain32_c8/bogacki-shampine-32 plain                               3.1 s 5e813035f449
[09:31:59]   compiled chain32_c8/bogacki-shampine-32 opt:other_small=0 state=local       3.2 s 59334bef19b3
[09:31:59]   compiled chain32_c8/bogacki-shampine-32 opt:other_small=1 state=shared      4.4 s 7c8bd1c04ee7
[09:32:02]   compiled chain32_c8/bogacki-shampine-32 o1+stage_accumulator=shared         3.1 s 2267cd008002
[09:32:04]   compiled chain32_c8/bogacki-shampine-32 opt:other_small=0 state=shared      4.9 s be14d08c5988
[09:32:05]   compiled chain32_c8/bogacki-shampine-32 o1+stage_rhs=shared                 3.0 s 9475dedf507d
[09:32:07]   compiled chain32_c8/radau_iia_5_bicgstab allrolled                          23.1 s f67151ba4063
[09:32:13]   compiled chain32_c8/vern7 tierA                               7.3 s d3cd5cfe3e2b
[09:32:14]   compiled chain32_c8/vern7 plain                               6.2 s fdeb388ab2fa
[09:32:14]   compiled chain32_c8/vern7 opt:other_small=1 state=shared      0.4 s d3cd5cfe3e2b
[09:32:16]   compiled chain32_c8/vern7 opt:other_small=1 state=local       5.3 s fdeb388ab2fa
[09:32:19]   compiled chain32_c8/vern7 opt:other_small=0 state=local       5.5 s 040d22597f52
[09:32:20]   compiled chain32_c8/vern7 opt:other_small=0 state=shared      6.0 s be3e3e9d5369
[09:32:24]   compiled chain32_c8/tsit5 tierA                               4.0 s be5e98a08d4d
[09:32:24]   compiled chain32_c8/tsit5 opt:other_small=1 state=local       0.1 s be5e98a08d4d
[09:32:24]   compiled chain32_c8/tsit5 plain                               4.0 s be5e98a08d4d
[09:32:24]   compiled chain32_c8/vern7 o1+stage_accumulator=shared         7.7 s b9654aacf34b
[09:32:25]   compiled chain32_c8/vern7 o1+stage_rhs=shared                 5.9 s 0644d1823286
[09:32:28]   compiled chain32_c8/tsit5 opt:other_small=0 state=local       4.0 s 89f668204f4f
[09:32:28]   compiled chain32_c8/tsit5 opt:other_small=0 state=shared      4.0 s 0b64a94d60b2
[09:32:28]   compiled chain32_c8/tsit5 opt:other_small=1 state=shared      4.1 s cd709b6dca90
[09:32:30]   compiled chain32_c8/tsit5 o1+stage_accumulator=shared         4.9 s 8b2c227d231c
[09:32:32]   compiled chain32_c8/tsit5 o1+stage_rhs=shared                 4.1 s b271f8bb51a0
[09:32:36]   compiled chain32_c8/rosenbrock23 plain                               8.2 s 0929ea048b1f
[09:32:36]   compiled chain32_c8/rosenbrock23 tierA                               8.2 s 0929ea048b1f
[09:32:37]   compiled chain32_c8/rosenbrock23 opt:other_small=1                   7.3 s 0929ea048b1f
[09:32:39]   compiled lorenz96_10/kvaerno3 tierA                               2.7 s a2718fb1a92b
[09:32:39]   compiled chain32_c8/rosenbrock23 opt:other_small=0                   7.4 s 2e1a9803b53a
[09:32:40]   compiled lorenz96_10/kvaerno3 plain                               3.7 s 8fd3618a29a1
[09:32:40]   compiled lorenz96_10/kvaerno3 opt:newton_exits=1 accumulator=local    3.0 s 8fd3618a29a1
[09:32:42]   compiled lorenz96_10/kvaerno3 opt:newton_exits=0 accumulator=local    2.7 s 50729845f7c0
[09:32:43]   compiled lorenz96_10/kvaerno3 opt:newton_exits=1 accumulator=shared    3.7 s df03a2149c02
[09:32:43]   compiled lorenz96_10/kvaerno3 opt:newton_exits=0 accumulator=shared    2.7 s 28a8e2424544
[09:32:44]   compiled lorenz96_10/kvaerno3 n1o0                                4.2 s ffd1eac83a8b
[09:32:45]   compiled lorenz96_10/kvaerno3 n0o0                                3.2 s a883aee45244
[09:32:46]   compiled lorenz96_10/kvaerno5 tierA                               3.5 s 225f163daafa
[09:32:50]   compiled lorenz96_10/kvaerno5 plain                               4.9 s 5d936ae63d11
[09:32:51]   compiled lorenz96_10/kvaerno5 opt:newton_exits=1 accumulator=local    4.4 s 5d936ae63d11
